Semana,MUNICIPIO,GFS,MERGE,REGIAO
2025-02-23,GAROPABA,"0,69","0,04",GRANDE FLORIANOPOLIS
2025-03-02,GAROPABA,"1,42","0,00",GRANDE FLORIANOPOLIS
2025-02-23,GOVERNADOR CELSO RAMOS,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,GOVERNADOR CELSO RAMOS,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,LEOBERTO LEAL,"1,98","16,8",GRANDE FLORIANOPOLIS
2025-03-02,LEOBERTO LEAL,"1,34","0,14",GRANDE FLORIANOPOLIS
2025-02-23,MAJOR GERCINO,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,MAJOR GERCINO,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,NOVA TRENTO,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,NOVA TRENTO,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,PALHOÇA,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,PALHOÇA,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,PAULO LOPES,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,PAULO LOPES,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,RANCHO QUEIMADO,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,RANCHO QUEIMADO,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,SANTO AMARO DA IMPERATRIZ,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,SANTO AMARO DA IMPERATRIZ,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,SAO BONIFACIO,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,SAO BONIFACIO,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,SAO JOAO BATISTA,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,SAO JOAO BATISTA,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,SAO JOSE,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,SAO JOSE,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,SAO PEDRO DE ALCANTARA,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,SAO PEDRO DE ALCANTARA,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,TIJUCAS,"1,98","3,09",GRANDE FLORIANOPOLIS
2025-03-02,TIJUCAS,"1,34","2,65",GRANDE FLORIANOPOLIS
2025-02-23,ARMAZEM,"0,69","0,04",LAGUNA
2025-03-02,ARMAZEM,"1,42","0,00",LAGUNA
2025-02-23,BRAÇO DO NORTE,"0,69",,LAGUNA
2025-03-02,BRAÇO DO NORTE,"1,42","0,36",LAGUNA
2025-02-23,CAPIVARI DE BAIXO,"0,69","0,04",LAGUNA
2025-03-02,CAPIVARI DE BAIXO,"1,42","0,00",LAGUNA
2025-02-23,GRAO PARA,"0,69","10,44",LAGUNA
2025-03-02,GRAO PARA,"1,42","0,36",LAGUNA
2025-02-23,GRAVATAL,"0,69","0,04",LAGUNA
2025-03-02,GRAVATAL,"1,42","0,00",LAGUNA
2025-02-23,IMARUI,"0,69","0,04",LAGUNA
2025-03-02,IMARUI,"1,42","0,00",LAGUNA
2025-02-23,IMBITUBA,"0,69","0,04",LAGUNA
2025-03-02,IMBITUBA,"1,42","0,00",LAGUNA
2025-02-23,JAGUARUNA,"0,69","0,04",LAGUNA
2025-03-02,JAGUARUNA,"1,42","0,00",LAGUNA
2025-02-23,LAGUNA,"0,69","0,04",LAGUNA
2025-03-02,LAGUNA,"1,42","0,00",LAGUNA
2025-02-23,PEDRAS GRANDES,"0,69","10,44",LAGUNA
2025-03-02,PEDRAS GRANDES,"1,42","0,36",LAGUNA
2025-02-23,PESCARIA BRAVA,"0,69","0,04",LAGUNA
2025-03-02,PESCARIA BRAVA,"1,42","0,00",LAGUNA
2025-02-23,RIO FORTUNA,"0,69","10,44",LAGUNA
2025-03-02,RIO FORTUNA,"1,42","0,36",LAGUNA
2025-02-23,SANGAO,"0,69","10,44",LAGUNA
2025-03-02,SANGAO,"1,42","0,36",LAGUNA
2025-02-23,SANTA ROSA DE LIMA,"0,69","10,44",LAGUNA
2025-03-02,SANTA ROSA DE LIMA,"1,42","0,36",LAGUNA
2025-02-23,SAO LUDGERO,"0,69","10,44",LAGUNA
2025-03-02,SAO LUDGERO,"1,42","0,36",LAGUNA
2025-02-23,SAO MARTINHO,"0,69","0,04",LAGUNA
2025-03-02,SAO MARTINHO,"1,42","0,00",LAGUNA
2025-02-23,TREZE DE MAIO,"0,69","10,44",LAGUNA
2025-03-02,TREZE DE MAIO,"1,42","0,36",LAGUNA
2025-02-23,TUBARAO,"0,69","0,04",LAGUNA
2025-03-02,TUBARAO,"1,42","0,00",LAGUNA
2025-02-23,APIUNA,"3,54","25,22",MEDIO VALE DO ITAJAI
2025-03-02,APIUNA,"1,17","0,14",MEDIO VALE DO ITAJAI
2025-02-23,ASCURRA,"3,27","2,53",MEDIO VALE DO ITAJAI
2025-03-02,ASCURRA,"2,38","0,22",MEDIO VALE DO ITAJAI
2025-02-23,BENEDITO NOVO,"3,27","2,53",MEDIO VALE DO ITAJAI
2025-03-02,BENEDITO NOVO,"2,38","0,22",MEDIO VALE DO ITAJAI
